"label","x","y","band1","band2","band3","band4","band5","band6","band7","band8"
"road1",646565.074611976,5887655.15028062,0.149560734629631,0.136464193463326,0.118158996105194,0.105400711297989,0.107184790074825,0.115630827844143,0.13648022711277,0.111556835472584
"road1",646663.385102848,5887707.97382795,0.143645897507668,0.137721940875053,0.131385743618011,0.123023979365826,0.112777039408684,0.162106245756149,0.261587083339691,0.154984325170517
"road1",646749.957027645,5887763.7320168,0.15336312353611,0.137721940875053,0.115513645112514,0.112178891897202,0.109514892101288,0.118233449757099,0.140417158603668,0.10637741535902
"road1",646786.640046627,5887784.27450743,0.159277960658073,0.149041548371315,0.135794669389725,0.12607416510582,0.137010127305984,0.123066894710064,0.155289992690086,0.113947339355946
"road1",646920.655342641,5887864.48804227,0.149138242006302,0.135206460952759,0.113750077784061,0.102350533008575,0.10252457857132,0.112656399607658,0.117233015596867,0.0952217280864716
"road1",646896.199996653,5887977.96084766,0.146180838346481,0.134577602148056,0.10405045747757,0.103028349578381,0.0913400799036026,0.111540995538235,0.113296084105968,0.0824723765254021
"road1",646840.4418078,5887984.80834453,0.152518153190613,0.128917798399925,0.109341159462929,0.0999781638383865,0.0987964123487473,0.105963945388794,0.119420193135738,0.0952217280864716
"road1",646959.294789302,5887931.9847972,0.146180838346481,0.125144585967064,0.10008243471384,0.0938778072595596,0.0801555812358856,0.0899764001369476,0.101922728121281,0.076894536614418
"road1",647009.672802037,5887931.00658336,0.155475571751595,0.135206460952759,0.116395428776741,0.097266897559166,0.106718771159649,0.105592139065266,0.111983776092529,0.0944248959422112
"road1",647004.781732839,5887878.18303603,0.147025808691978,0.132062122225761,0.107136704027653,0.0938778072595596,0.0946022272109985,0.0988996773958206,0.115483269095421,0.090042307972908
"road1",647004.781732839,5887904.10570277,0.148715764284134,0.133319869637489,0.110663838684559,0.0955723524093628,0.0978643745183945,0.102617710828781,0.108484283089638,0.0844644606113434
"road1",647116.787217464,5887987.74298605,0.149560734629631,0.133948728442192,0.115072757005692,0.0952334403991699,0.0964663103222847,0.102245911955833,0.111546337604523,0.0856597125530243
"road1",646491.219467093,5887477.60446874,0.148715764284134,0.128288924694061,0.110222943127155,0.0955723524093628,0.0955342650413513,0.10484853386879,0.115045830607414,0.0912375599145889
"road2",646558.2271151,5887456.08376427,0.17068512737751,0.15910342335701,0.165775313973427,0.179621785879135,0.184078216552734,0.178465589880943,0.213031634688377,0.171319425106049
"road2",646536.70641063,5887445.32341204,0.161390393972397,0.171051904559135,0.173711359500885,0.175554886460304,0.165437385439873,0.189247891306877,0.228341907262802,0.191240295767784
"road2",646626.212976946,5887499.61428013,0.175754994153976,0.174196243286133,0.171947792172432,0.173521429300308,0.188272416591644,0.191478699445724,0.209969580173492,0.168928921222687
"road2",646661.917782089,5887521.1349846,0.187162160873413,0.187402442097664,0.197519510984421,0.194872692227364,0.209709376096725,0.219363957643509,0.246714249253273,0.198810219764709
